"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"DTP";"Sarampo";"Haemophilus influenzae b";"Ignorado";" Total"
"11 Rondônia";"104,31";"74,41";"73,78";"66,06";"77,08";"82,64";"0";"103,09";"76,05"
"12 Acre";"84,33";"47,67";"61,34";"30,00";"51,06";"54,94";"0";"0";"36,59"
"13 Amazonas";"112,77";"52,97";"84,96";"69,11";"57,91";"71,18";"0";"0";"49,88"
"14 Roraima";"126,51";"78,27";"83,36";"46,30";"89,09";"88,12";"0";"145,48";"89,18"
"15 Pará";"107,83";"34,69";"47,88";"17,94";"82,46";"59,08";"0";"55,71";"51,26"
"16 Amapá";"118,90";"66,18";"71,93";"4,42";"71,10";"70,21";"0";"0";"44,75"
"17 Tocantins";"101,56";"53,30";"64,37";"25,53";"68,48";"71,43";"0";"102,16";"65,44"
"21 Maranhão";"100,79";"0,14";"38,44";"10,81";"57,22";"72,64";"0";"44,70";"41,05"
"22 Piauí";"100,98";"0,00";"64,42";"1,15";"70,86";"71,11";"0";"54,77";"46,45"
"23 Ceará";"133,29";"0,03";"103,09";"0";"93,27";"98,43";"0";"57,21";"60,28"
"24 Rio Grande do Norte";"91,84";"0,00";"66,30";"0";"72,87";"76,77";"0";"100,66";"56,57"
"25 Paraíba";"88,69";"0,01";"74,99";"0";"69,65";"74,38";"0";"49,69";"45,23"
"26 Pernambuco";"119,72";"0,08";"119,08";"0,00";"74,82";"87,24";"0";"127,39";"72,86"
"27 Alagoas";"77,34";"0,06";"40,02";"0";"39,30";"43,11";"0";"109,69";"46,58"
"28 Sergipe";"116,50";"0,01";"87,14";"0";"81,02";"83,71";"0";"118,55";"67,28"
"29 Bahia";"80,68";"0,00";"55,84";"0,00";"51,39";"56,67";"0";"49,02";"38,07"
"32 Espírito Santo";"99,67";"85,76";"80,89";"0";"88,02";"94,09";"0";"116,10";"75,62"
"33 Rio de Janeiro";"97,88";"0,05";"76,30";"0,08";"72,37";"79,64";"0,00";"0";"36,26"
"35 São Paulo";"111,18";"0";"101,36";"0";"96,03";"95,20";"0";"0";"44,86"
"41 Paraná";"103,76";"89,96";"91,28";"0,02";"91,27";"90,28";"0,00";"0";"51,84"
"42 Santa Catarina";"102,46";"82,64";"83,81";"0,01";"79,60";"87,83";"0,41";"0";"48,53"
"43 Rio Grande do Sul";"96,65";"0,05";"79,90";"0";"78,73";"84,09";"0";"95,32";"58,90"
"50 Mato Grosso do Sul";"101,50";"0,03";"68,82";"34,01";"69,65";"77,15";"0";"0";"39,02"
"51 Mato Grosso";"98,14";"0,97";"68,61";"18,02";"72,57";"78,68";"0";"0";"37,44"
"52 Goiás";"108,30";"2,40";"82,35";"21,46";"81,46";"79,55";"0";"113,44";"66,93"
"53 Distrito Federal";"136,31";"102,91";"105,49";"0,92";"107,72";"50,59";"0";"0";"55,99"
"Total";"104,21";"16,50";"80,86";"5,65";"78,25";"80,40";"0,01";"42,10";"50,01"
