"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";" Total"
"11 Rondônia";"70,72";"66,51";"82,95";"84,83";"85,23";"85,23";"89,15";"81,95";"73,56";"71,75";"77,80";"79,46";"83,62";"76,90";"83,27";"63,66";"47,30";"83,87";"88,10";"17,75";"65,24";"74,22"
"12 Acre";"70,09";"65,79";"65,92";"66,29";"64,40";"64,40";"73,33";"62,78";"46,38";"49,21";"59,18";"60,27";"60,71";"56,09";"59,43";"41,20";"33,97";"53,75";"61,67";"29,17";"43,81";"56,49"
"13 Amazonas";"88,16";"82,56";"70,28";"75,77";"64,77";"64,77";"81,89";"67,02";"54,81";"59,26";"67,57";"75,72";"74,63";"57,94";"75,89";"51,08";"33,52";"63,48";"70,97";"28,01";"59,07";"65,04"
"14 Roraima";"97,99";"95,03";"74,74";"78,54";"76,46";"76,46";"86,44";"72,84";"57,98";"50,37";"61,54";"42,61";"73,77";"60,34";"68,82";"64,70";"41,83";"61,56";"60,58";"17,28";"25,00";"64,33"
"15 Pará";"68,34";"58,72";"62,45";"64,61";"55,53";"55,53";"68,69";"59,13";"35,87";"48,93";"58,43";"61,06";"61,41";"50,97";"61,60";"54,03";"45,91";"44,95";"55,19";"31,42";"44,16";"54,42"
"16 Amapá";"71,57";"64,79";"46,78";"48,82";"38,98";"38,98";"48,96";"41,82";"29,36";"36,91";"43,93";"46,43";"46,24";"36,95";"51,88";"36,82";"27,11";"41,85";"41,42";"22,35";"27,12";"42,29"
"17 Tocantins";"89,69";"87,07";"83,51";"86,10";"87,03";"87,03";"88,81";"83,76";"72,47";"71,00";"82,27";"85,48";"86,33";"78,20";"81,63";"67,55";"54,61";"76,77";"89,28";"16,89";"68,60";"77,36"
"21 Maranhão";"64,03";"58,14";"61,28";"63,00";"51,20";"51,20";"67,34";"60,09";"35,04";"51,24";"57,76";"59,78";"60,24";"50,98";"63,37";"44,84";"1,59";"41,18";"53,18";"25,03";"36,79";"50,34"
"22 Piauí";"76,14";"72,18";"72,46";"74,93";"60,92";"60,92";"77,88";"71,41";"59,09";"62,37";"73,16";"73,80";"75,46";"68,04";"76,79";"51,28";"4,74";"64,65";"71,41";"27,51";"54,22";"63,85"
"23 Ceará";"65,55";"60,02";"88,77";"90,30";"83,08";"83,08";"93,50";"86,84";"69,85";"9,65";"83,92";"71,45";"86,35";"77,17";"90,28";"70,96";"1,66";"78,40";"87,41";"41,13";"53,54";"70,80"
