"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"106,60";"94,16";"103,75";"75,87";"130,63";"103,39";"103,38";"82,75";"84,61"
"12 Acre";"116,13";"83,24";"111,35";"69,08";"123,22";"86,59";"86,39";"80,72";"83,10"
"13 Amazonas";"118,64";"77,60";"91,44";"73,50";"86,06";"88,50";"88,50";"73,30";"74,57"
"14 Roraima";"97,50";"80,64";"91,02";"71,01";"110,32";"85,92";"85,92";"82,84";"83,23"
"15 Pará";"128,59";"105,25";"124,94";"92,78";"143,10";"116,01";"115,95";"98,88";"100,63"
"16 Amapá";"121,20";"89,80";"104,02";"74,56";"129,76";"96,28";"96,28";"84,91";"87,86"
"17 Tocantins";"109,27";"102,12";"106,65";"85,29";"97,41";"105,75";"105,60";"79,79";"82,22"
"21 Maranhão";"129,81";"95,98";"108,34";"91,87";"106,30";"97,84";"97,84";"83,59";"85,53"
"22 Piauí";"113,52";"94,87";"106,00";"93,78";"116,01";"100,93";"100,92";"84,52";"86,09"
"23 Ceará";"115,70";"108,58";"115,84";"0,09";"112,89";"112,14";"112,14";"82,59";"83,85"
"24 Rio Grande do Norte";"111,53";"95,41";"98,65";"1,23";"110,20";"98,47";"98,44";"81,10";"80,87"
"25 Paraíba";"120,51";"98,70";"103,13";"0,33";"114,45";"101,57";"101,57";"82,29";"81,74"
"26 Pernambuco";"121,69";"99,51";"109,86";"8,77";"113,70";"108,30";"108,30";"82,71";"82,97"
"27 Alagoas";"123,39";"99,02";"104,98";"0,05";"123,77";"105,59";"105,59";"95,68";"92,37"
"28 Sergipe";"107,35";"100,92";"107,34";"0";"120,41";"107,31";"107,16";"80,42";"81,31"
"29 Bahia";"123,28";"94,24";"103,14";"99,30";"132,66";"103,91";"103,91";"94,99";"95,00"
"31 Minas Gerais";"108,04";"99,70";"103,49";"86,37";"115,20";"103,72";"103,67";"76,31";"80,03"
"32 Espírito Santo";"110,09";"105,15";"112,22";"26,66";"113,96";"109,12";"109,12";"82,18";"83,30"
"33 Rio de Janeiro";"109,32";"90,68";"108,27";"0,32";"105,97";"99,73";"99,73";"76,49";"77,47"
"35 São Paulo";"109,14";"95,86";"98,19";"10,17";"104,30";"99,67";"99,21";"74,30";"76,36"
"41 Paraná";"104,83";"95,66";"99,66";"0,15";"93,89";"99,75";"99,75";"85,36";"83,10"
"42 Santa Catarina";"103,76";"96,09";"100,27";"9,55";"97,79";"100,61";"100,51";"75,63";"76,04"
"43 Rio Grande do Sul";"101,99";"90,38";"95,04";"4,76";"100,61";"95,83";"95,76";"74,41";"74,42"
"50 Mato Grosso do Sul";"99,81";"89,83";"99,47";"73,40";"98,49";"94,64";"94,64";"75,88";"78,08"
"51 Mato Grosso";"111,56";"93,28";"109,45";"81,45";"110,41";"104,57";"104,57";"82,98";"85,23"
"52 Goiás";"121,32";"95,53";"111,97";"91,07";"113,78";"113,81";"113,80";"94,47";"95,30"
"53 Distrito Federal";"115,74";"95,52";"101,10";"0,21";"96,70";"98,50";"98,49";"165,34";"124,23"
"Total";"113,36";"96,26";"104,30";"38,29";"110,93";"102,41";"102,30";"81,72";"82,79"
