"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";" Total"
"11 Rondônia";"88,11";"86,75";"88,92";"92,63";"89,66";"89,66";"102,44";"98,26";"63,78";"81,42";"85,01";"97,68";"89,81";"75,47";"106,42";"82,25";"70,74";"49,83";"55,01";"53,32";"75,54";"82,12"
"12 Acre";"93,86";"91,26";"84,50";"89,67";"76,42";"76,42";"91,53";"81,73";"50,98";"68,69";"80,62";"78,82";"85,96";"70,66";"87,39";"78,65";"75,68";"44,19";"51,30";"49,19";"64,51";"74,83"
"13 Amazonas";"93,27";"89,62";"82,55";"89,23";"78,58";"78,58";"92,51";"83,29";"75,83";"74,10";"85,32";"86,41";"90,88";"77,02";"92,12";"82,29";"72,71";"64,28";"65,04";"53,39";"69,61";"79,80"
"14 Roraima";"115,88";"115,53";"78,95";"83,54";"64,39";"64,39";"90,26";"79,76";"67,68";"69,77";"81,05";"72,63";"77,20";"69,29";"81,21";"86,72";"74,53";"67,49";"68,09";"42,43";"70,99";"77,48"
"15 Pará";"83,06";"75,47";"76,03";"77,41";"62,38";"62,38";"82,14";"72,72";"39,49";"62,60";"72,67";"73,55";"74,55";"60,00";"82,81";"71,34";"59,90";"35,44";"44,11";"46,78";"59,87";"65,14"
"16 Amapá";"100,27";"90,97";"78,73";"84,90";"52,67";"52,67";"84,90";"73,01";"42,48";"66,99";"77,17";"76,09";"85,77";"56,30";"87,24";"74,28";"64,43";"46,54";"50,37";"48,48";"58,98";"69,27"
"17 Tocantins";"112,41";"111,88";"88,73";"93,52";"76,38";"76,38";"94,02";"88,17";"65,91";"76,47";"87,09";"90,44";"95,13";"75,97";"91,07";"84,71";"81,35";"53,13";"55,40";"51,01";"75,97";"82,12"
"21 Maranhão";"83,57";"77,83";"77,52";"77,80";"58,58";"58,46";"84,13";"75,73";"40,65";"66,75";"74,06";"75,08";"77,11";"63,56";"87,05";"65,87";"6,94";"33,17";"46,21";"42,83";"62,71";"63,23"
"22 Piauí";"82,58";"81,51";"82,40";"85,44";"68,15";"68,15";"86,74";"81,85";"52,71";"73,40";"80,21";"81,79";"84,11";"67,15";"89,01";"74,48";"2,14";"46,57";"55,64";"46,71";"62,73";"69,58"
"23 Ceará";"86,05";"78,89";"94,96";"97,42";"80,06";"80,05";"98,85";"93,54";"64,50";"0,78";"91,32";"89,82";"93,38";"80,25";"103,02";"86,70";"13,04";"49,94";"57,20";"60,45";"70,42";"75,18"
"24 Rio Grande do Norte";"85,29";"83,35";"84,56";"85,25";"68,87";"68,87";"89,32";"80,74";"54,99";"0,65";"81,40";"87,32";"84,86";"71,49";"93,73";"74,40";"3,74";"47,27";"56,12";"45,06";"64,49";"68,19"
"25 Paraíba";"94,90";"86,93";"95,51";"96,90";"82,21";"82,19";"99,90";"92,60";"63,83";"1,16";"91,77";"90,12";"89,10";"78,26";"105,74";"87,79";"13,22";"59,57";"67,23";"50,89";"69,50";"76,94"
"26 Pernambuco";"92,07";"88,38";"86,73";"88,71";"73,70";"73,69";"90,14";"85,64";"57,10";"1,15";"86,09";"86,37";"88,14";"72,19";"101,00";"81,45";"7,78";"48,24";"55,37";"53,46";"68,23";"71,10"
"27 Alagoas";"91,54";"83,73";"88,83";"91,80";"79,12";"79,12";"94,73";"87,89";"60,47";"2,78";"88,65";"89,52";"91,51";"80,00";"106,22";"74,53";"3,43";"42,23";"50,96";"53,82";"68,59";"71,79"
"28 Sergipe";"85,41";"84,33";"82,03";"86,80";"76,81";"76,81";"84,73";"80,86";"65,62";"1,22";"82,05";"84,39";"87,29";"71,16";"90,99";"74,98";"0,81";"56,66";"61,36";"42,47";"57,61";"68,84"
"29 Bahia";"78,05";"73,74";"75,23";"78,53";"66,89";"66,89";"79,56";"74,83";"51,86";"66,44";"75,30";"73,59";"78,68";"65,83";"84,65";"70,50";"1,79";"50,83";"62,15";"34,64";"55,69";"65,14"
"31 Minas Gerais";"88,76";"81,77";"90,40";"91,46";"74,36";"74,36";"91,88";"88,52";"76,71";"85,71";"92,00";"87,10";"89,93";"81,41";"96,97";"87,58";"1,37";"59,62";"68,71";"44,68";"70,10";"77,86"
