"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Sarampo";"Haemophilus influenzae b";"Ignorado";" Total"
"11 Rondônia";"111,60";"94,53";"98,82";"113,63";"17,15";"102,56";"100,63";"98,04";"83,74";"79,59"
"12 Acre";"112,32";"60,72";"92,64";"90,06";"27,55";"65,06";"94,22";"15,91";"74,54";"66,79"
"13 Amazonas";"118,46";"64,57";"103,46";"100,65";"14,84";"74,81";"113,34";"63,31";"74,89";"70,91"
"14 Roraima";"187,41";"122,90";"134,10";"141,29";"25,35";"128,99";"135,75";"112,36";"72,39";"83,94"
"15 Pará";"103,54";"63,75";"109,25";"85,95";"10,14";"68,19";"111,86";"77,61";"87,25";"77,23"
"16 Amapá";"117,68";"87,62";"91,16";"92,80";"5,25";"85,73";"97,78";"56,91";"76,05";"70,61"
"17 Tocantins";"110,23";"94,71";"106,04";"100,65";"0,17";"100,46";"102,88";"78,85";"88,30";"80,63"
"21 Maranhão";"122,28";"64,93";"80,98";"99,63";"82,66";"73,67";"103,22";"25,17";"81,37";"74,81"
"22 Piauí";"112,58";"91,91";"99,34";"68,88";"72,25";"91,44";"101,92";"66,13";"84,16";"78,74"
"23 Ceará";"113,38";"96,84";"101,39";"27,21";"85,19";"99,03";"111,04";"77,32";"83,84";"78,82"
"24 Rio Grande do Norte";"103,37";"86,44";"86,79";"3,66";"46,55";"88,31";"101,43";"56,30";"78,05";"70,21"
"25 Paraíba";"101,55";"89,16";"91,89";"0,28";"67,12";"89,32";"93,34";"78,81";"80,00";"72,88"
"26 Pernambuco";"124,76";"93,22";"114,08";"9,01";"29,21";"94,54";"115,01";"78,72";"83,74";"76,93"
"27 Alagoas";"116,01";"82,28";"94,25";"1,35";"11,13";"87,81";"99,61";"67,63";"83,62";"72,36"
"28 Sergipe";"114,80";"101,48";"101,90";"10,14";"94,08";"100,48";"112,06";"94,64";"81,28";"77,96"
"29 Bahia";"109,95";"80,18";"95,25";"77,05";"76,30";"88,47";"104,31";"69,61";"76,52";"74,08"
"31 Minas Gerais";"112,72";"111,31";"106,70";"46,58";"92,70";"105,43";"108,91";"96,71";"80,67";"79,70"
"32 Espírito Santo";"106,13";"97,75";"108,53";"45,99";"68,74";"100,14";"103,79";"92,25";"83,69";"79,36"
"33 Rio de Janeiro";"109,09";"84,27";"93,98";"5,30";"89,41";"91,19";"101,26";"92,13";"79,97";"75,16"
"35 São Paulo";"110,70";"97,24";"102,35";"8,55";"105,38";"100,35";"108,05";"115,43";"77,03";"76,19"
"41 Paraná";"111,17";"99,61";"104,42";"0,32";"91,12";"103,96";"110,32";"107,57";"82,26";"78,72"
"42 Santa Catarina";"106,23";"96,26";"102,57";"0,56";"95,57";"103,08";"107,03";"106,93";"77,70";"75,49"
"43 Rio Grande do Sul";"102,88";"94,77";"97,37";"0,33";"79,75";"97,51";"95,97";"77,58";"76,00";"71,91"
"50 Mato Grosso do Sul";"121,58";"96,99";"112,63";"109,76";"114,77";"98,84";"118,86";"64,89";"85,85";"85,08"
"51 Mato Grosso";"113,33";"81,56";"125,46";"111,47";"61,41";"93,94";"117,88";"74,88";"88,77";"84,34"
"52 Goiás";"108,76";"90,71";"107,12";"143,05";"82,19";"96,90";"111,76";"85,98";"82,83";"82,76"
"53 Distrito Federal";"128,74";"86,83";"99,53";"5,65";"101,96";"99,45";"0,03";"107,26";"81,44";"73,49"
"Total";"111,74";"91,08";"101,44";"37,14";"77,50";"94,71";"105,35";"87,85";"80,12";"76,50"
