"Unidade da Federação";"BCG";"Rotavírus Humano";"Hepatite B";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"114,13";"90,01";"113,45";"120,88";"114,96";"116,70";"122,04";"122,04";"79,56";"86,21"
"12 Acre";"122,55";"51,47";"101,72";"116,33";"97,63";"109,45";"102,03";"101,95";"75,17";"80,54"
"13 Amazonas";"125,35";"60,25";"91,82";"93,06";"97,76";"110,07";"94,78";"94,60";"74,14";"78,84"
"14 Roraima";"103,53";"65,27";"88,46";"95,00";"95,97";"97,31";"92,05";"91,77";"75,10";"76,90"
"15 Pará";"136,53";"56,39";"103,32";"111,15";"107,84";"118,49";"109,55";"109,45";"84,12";"87,91"
"16 Amapá";"113,26";"63,16";"89,91";"98,82";"87,97";"98,29";"95,99";"95,99";"72,05";"76,76"
"17 Tocantins";"109,12";"83,36";"105,10";"109,02";"102,65";"107,82";"108,00";"107,95";"76,45";"81,82"
"21 Maranhão";"141,55";"62,95";"106,25";"118,59";"114,12";"119,71";"111,54";"111,54";"82,19";"87,34"
"22 Piauí";"107,05";"79,41";"101,98";"108,31";"103,72";"107,07";"105,86";"105,75";"75,54";"80,35"
"23 Ceará";"112,81";"85,67";"104,49";"108,98";"0,15";"107,88";"108,06";"108,06";"77,43";"78,59"
"24 Rio Grande do Norte";"113,38";"67,49";"97,72";"99,01";"0,61";"107,25";"99,02";"99,02";"73,04";"74,53"
"25 Paraíba";"124,46";"83,07";"105,84";"110,40";"0,44";"116,26";"109,68";"109,68";"77,62";"79,48"
"26 Pernambuco";"114,41";"81,34";"104,14";"110,94";"0,36";"113,35";"108,84";"108,84";"79,09";"80,37"
"27 Alagoas";"110,48";"61,69";"90,95";"94,38";"0,23";"99,63";"95,40";"95,39";"72,87";"72,64"
"28 Sergipe";"104,82";"92,62";"105,13";"108,68";"0,05";"106,25";"108,35";"108,33";"75,23";"77,60"
"29 Bahia";"114,16";"72,20";"99,72";"105,46";"101,18";"108,20";"104,32";"104,31";"73,21";"78,42"
"31 Minas Gerais";"104,74";"91,75";"103,38";"105,58";"102,77";"109,28";"105,86";"105,69";"71,43";"77,31"
"32 Espírito Santo";"100,20";"91,14";"102,16";"108,97";"35,94";"104,49";"104,78";"104,34";"73,62";"76,60"
"33 Rio de Janeiro";"110,81";"76,93";"93,67";"112,08";"0,32";"100,54";"96,92";"96,92";"69,16";"71,89"
"35 São Paulo";"101,67";"86,54";"96,10";"98,67";"11,82";"100,23";"97,53";"96,98";"66,93";"70,92"
"41 Paraná";"102,85";"83,51";"100,33";"102,69";"77,08";"103,17";"102,88";"102,83";"72,43";"76,87"
"42 Santa Catarina";"100,83";"91,57";"101,07";"104,07";"9,19";"102,40";"104,14";"103,58";"69,99";"73,51"
"43 Rio Grande do Sul";"100,32";"78,24";"95,99";"99,89";"5,27";"104,53";"99,89";"99,68";"65,65";"68,75"
"50 Mato Grosso do Sul";"105,88";"86,58";"101,60";"104,83";"100,93";"106,44";"105,50";"105,27";"72,44";"78,40"
"51 Mato Grosso";"117,62";"74,54";"104,81";"112,30";"110,13";"114,80";"108,85";"108,69";"77,13";"82,68"
"52 Goiás";"119,46";"85,25";"106,75";"112,35";"114,92";"116,26";"113,90";"113,82";"78,26";"84,69"
"53 Distrito Federal";"106,67";"88,69";"97,14";"100,31";"3,11";"95,26";"97,88";"97,78";"151,50";"117,55"
"Total";"111,08";"79,79";"99,89";"105,43";"49,23";"106,80";"103,25";"103,06";"73,11";"76,94"
