"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Sarampo";"Haemophilus influenzae b";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"97,42";"86,75";"93,97";"93,86";"115,24";"0,34";"7,82";"0,37";"92,78";"81,52";"72,30"
"12 Acre";"121,07";"94,58";"131,65";"95,36";"99,40";"3,15";"0";"0,64";"104,58";"86,30";"77,54"
"13 Amazonas";"109,89";"68,57";"85,63";"84,35";"91,30";"2,55";"5,39";"1,71";"76,79";"73,40";"64,77"
"14 Roraima";"105,42";"78,41";"86,46";"96,17";"110,22";"1,87";"10,44";"0,52";"84,51";"85,51";"72,99"
"15 Pará";"122,87";"86,50";"118,52";"99,85";"124,98";"2,47";"0";"0,76";"106,47";"90,32";"80,50"
"16 Amapá";"123,55";"86,50";"98,44";"97,89";"114,50";"0";"0,83";"0";"93,92";"87,01";"76,13"
"17 Tocantins";"102,09";"96,67";"102,04";"101,33";"115,03";"0,65";"4,05";"0,34";"100,53";"83,99";"75,39"
"21 Maranhão";"119,88";"84,96";"99,51";"97,72";"102,32";"0,49";"24,56";"2,71";"90,81";"84,64";"75,58"
"22 Piauí";"101,91";"88,93";"103,72";"85,48";"111,58";"2,29";"7,22";"3,15";"91,17";"83,48";"74,41"
"23 Ceará";"103,20";"97,22";"98,78";"0,17";"119,11";"0,24";"3,60";"0,79";"99,83";"85,78";"73,21"
"24 Rio Grande do Norte";"113,32";"97,58";"97,37";"2,01";"116,80";"2,55";"2,94";"2,39";"96,76";"82,16";"71,76"
"25 Paraíba";"109,52";"94,77";"98,24";"0,30";"108,34";"2,73";"0,02";"1,81";"95,69";"83,01";"71,43"
"26 Pernambuco";"126,01";"101,58";"113,81";"8,57";"119,59";"0";"5,38";"0";"113,05";"87,70";"77,22"
"27 Alagoas";"115,74";"94,88";"100,75";"0,03";"99,05";"2,02";"2,90";"0,96";"100,23";"84,05";"71,21"
"28 Sergipe";"104,74";"102,71";"107,79";"0,43";"132,46";"0";"2,39";"0,06";"108,08";"88,25";"76,06"
"29 Bahia";"106,68";"85,32";"92,07";"88,79";"107,79";"3,47";"9,22";"2,62";"92,32";"81,69";"72,90"
"31 Minas Gerais";"91,92";"83,43";"87,11";"20,26";"103,62";"0,58";"0,98";"0,65";"87,51";"81,93";"69,40"
"32 Espírito Santo";"110,03";"108,10";"119,51";"5,97";"126,19";"2,05";"3,79";"1,98";"111,96";"88,05";"77,65"
"33 Rio de Janeiro";"111,00";"87,30";"111,46";"0,47";"114,46";"3,39";"0,76";"3,02";"95,21";"81,16";"71,50"
"35 São Paulo";"108,87";"98,29";"98,31";"10,08";"119,88";"0,73";"3,35";"2,58";"98,77";"80,60";"71,29"
"41 Paraná";"105,89";"99,26";"103,38";"0,17";"107,13";"1,82";"1,22";"2,54";"103,64";"84,64";"73,48"
"42 Santa Catarina";"101,99";"100,70";"101,54";"8,66";"115,37";"0,29";"0,50";"0,92";"101,55";"84,53";"73,68"
"43 Rio Grande do Sul";"103,81";"91,56";"96,20";"4,55";"110,93";"0,64";"1,95";"1,02";"96,25";"81,82";"71,71"
"50 Mato Grosso do Sul";"108,05";"97,66";"107,08";"106,29";"119,49";"1,06";"1,88";"1,06";"102,27";"84,58";"77,14"
"51 Mato Grosso";"108,02";"89,75";"108,27";"104,10";"120,92";"0,56";"4,08";"0,57";"100,94";"86,12";"77,24"
"52 Goiás";"111,28";"92,24";"104,13";"99,84";"109,98";"1,43";"2,30";"1,18";"104,04";"89,29";"79,45"
"53 Distrito Federal";"115,71";"90,01";"96,96";"0,72";"101,66";"0,17";"0,02";"1,62";"98,47";"84,05";"70,10"
"Total";"108,47";"92,00";"100,48";"34,68";"112,95";"1,41";"4,06";"1,72";"97,47";"83,19";"72,97"
