"Unidade da Federação";"BCG";"Rotavírus Humano";"Hepatite B";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"105,86";"80,83";"100,19";"105,98";"104,43";"103,49";"107,81";"107,81";"77,70";"82,39"
"12 Acre";"108,57";"55,22";"88,30";"94,64";"86,29";"94,17";"88,35";"87,90";"72,12";"75,06"
"13 Amazonas";"121,18";"57,82";"86,98";"87,06";"87,54";"101,56";"90,15";"89,71";"72,77";"76,40"
"14 Roraima";"95,06";"66,15";"81,84";"89,57";"91,82";"95,51";"86,71";"86,00";"66,33";"71,13"
"15 Pará";"127,68";"62,21";"102,19";"109,56";"100,04";"111,83";"102,06";"101,98";"81,20";"84,70"
"16 Amapá";"115,66";"68,14";"91,22";"97,10";"85,69";"93,02";"98,37";"98,37";"67,93";"74,15"
"17 Tocantins";"107,30";"81,45";"97,43";"99,83";"93,89";"96,40";"99,57";"99,37";"76,06";"79,53"
"21 Maranhão";"134,02";"69,23";"101,16";"108,01";"100,20";"113,90";"106,78";"106,75";"78,98";"83,65"
"22 Piauí";"106,17";"84,11";"99,19";"100,04";"98,40";"100,90";"100,52";"100,47";"71,79";"76,69"
"23 Ceará";"107,02";"88,77";"101,68";"105,37";"0,18";"103,02";"103,55";"103,55";"73,11";"74,75"
"24 Rio Grande do Norte";"108,39";"71,81";"91,43";"92,36";"0,25";"94,73";"92,59";"92,59";"69,17";"70,54"
"25 Paraíba";"123,87";"82,82";"97,95";"101,47";"0,50";"102,50";"101,03";"101,03";"72,75";"74,71"
"26 Pernambuco";"113,27";"85,30";"102,32";"106,67";"0,49";"105,71";"104,85";"104,84";"74,07";"75,92"
"27 Alagoas";"101,06";"68,16";"88,86";"90,87";"0,21";"92,94";"90,98";"90,97";"68,87";"69,00"
"28 Sergipe";"104,40";"88,18";"98,65";"99,94";"0,08";"99,53";"100,70";"100,45";"73,79";"75,27"
"29 Bahia";"106,30";"74,28";"96,03";"98,45";"94,85";"102,05";"98,86";"98,83";"69,73";"74,57"
"31 Minas Gerais";"103,68";"91,39";"99,11";"99,56";"96,49";"98,69";"100,32";"100,08";"69,43";"74,74"
"32 Espírito Santo";"100,79";"90,85";"98,36";"104,58";"33,54";"100,36";"100,29";"99,83";"72,07";"75,19"
"33 Rio de Janeiro";"108,64";"76,19";"87,94";"108,31";"0,75";"95,46";"90,48";"90,47";"66,58";"69,15"
"35 São Paulo";"104,30";"86,87";"95,05";"96,60";"13,43";"96,68";"95,12";"94,54";"66,23";"70,30"
"41 Paraná";"102,97";"85,74";"95,12";"96,32";"73,41";"94,48";"97,06";"94,92";"69,39";"73,64"
"42 Santa Catarina";"100,88";"88,65";"94,93";"96,82";"8,87";"96,43";"97,12";"96,32";"69,32";"72,19"
"43 Rio Grande do Sul";"98,94";"80,68";"91,14";"93,33";"6,05";"95,32";"93,06";"92,65";"65,20";"67,62"
"50 Mato Grosso do Sul";"102,39";"84,78";"93,00";"96,87";"89,76";"92,66";"97,14";"97,00";"70,05";"74,90"
"51 Mato Grosso";"112,73";"81,76";"96,31";"104,55";"102,78";"100,37";"99,50";"99,30";"73,00";"78,13"
"52 Goiás";"119,52";"85,50";"100,32";"104,30";"107,55";"106,10";"105,12";"104,86";"74,12";"80,21"
"53 Distrito Federal";"107,92";"87,30";"96,36";"99,18";"50,24";"91,52";"96,66";"96,02";"145,86";"115,82"
"Total";"108,91";"81,18";"96,06";"100,18";"47,09";"99,81";"97,98";"97,62";"70,67";"74,32"
