"Unidade da Federação";"BCG";"Rotavírus Humano";"Hepatite B";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"107,64";"88,70";"106,68";"111,99";"102,31";"102,29";"115,07";"115,07";"78,11";"83,87"
"12 Acre";"109,37";"68,67";"97,63";"110,91";"97,22";"103,45";"100,57";"100,27";"74,04";"79,18"
"13 Amazonas";"120,83";"65,02";"93,92";"93,57";"94,48";"103,13";"96,92";"96,67";"73,77";"78,63"
"14 Roraima";"101,81";"75,68";"99,60";"103,67";"100,57";"100,61";"105,63";"105,09";"74,43";"80,21"
"15 Pará";"128,81";"69,93";"104,32";"106,11";"107,97";"117,62";"101,73";"101,67";"79,41";"84,04"
"16 Amapá";"115,77";"78,41";"100,73";"126,11";"88,54";"100,57";"104,15";"104,15";"78,90";"84,31"
"17 Tocantins";"104,01";"88,02";"105,74";"107,81";"100,37";"103,00";"107,86";"107,79";"76,28";"81,54"
"21 Maranhão";"132,63";"78,26";"106,02";"112,14";"102,89";"118,10";"108,78";"108,71";"79,18";"84,62"
"22 Piauí";"104,48";"89,68";"102,30";"103,42";"99,89";"102,35";"103,01";"102,97";"73,07";"78,11"
"23 Ceará";"108,08";"90,97";"103,63";"105,70";"0,15";"105,67";"106,45";"106,45";"74,29";"76,10"
"24 Rio Grande do Norte";"110,28";"76,46";"97,95";"95,99";"0,37";"101,01";"98,68";"98,67";"71,15";"72,82"
"25 Paraíba";"118,19";"87,41";"105,20";"110,05";"0,37";"104,40";"106,62";"106,62";"74,06";"76,88"
"26 Pernambuco";"112,83";"90,73";"105,14";"108,60";"0,42";"111,23";"107,87";"107,87";"76,43";"78,11"
"27 Alagoas";"113,67";"79,38";"103,26";"106,07";"0,28";"105,33";"106,03";"106,03";"73,36";"75,31"
"28 Sergipe";"101,53";"92,20";"103,22";"105,73";"0,08";"102,66";"105,63";"105,35";"73,86";"76,07"
"29 Bahia";"106,66";"79,97";"99,78";"102,30";"100,51";"108,09";"102,99";"102,97";"71,39";"76,77"
"31 Minas Gerais";"103,35";"95,33";"103,78";"105,19";"103,28";"105,45";"105,71";"105,43";"71,43";"78,04"
"32 Espírito Santo";"101,14";"94,48";"102,15";"107,32";"10,73";"102,47";"104,76";"104,16";"72,92";"75,93"
"33 Rio de Janeiro";"109,58";"80,26";"93,05";"109,39";"0,44";"96,69";"95,03";"95,02";"68,43";"71,36"
"35 São Paulo";"102,51";"89,57";"97,76";"99,10";"17,18";"99,13";"97,20";"96,62";"68,39";"72,49"
"41 Paraná";"103,68";"89,67";"98,93";"100,36";"78,03";"100,19";"100,77";"99,82";"71,80";"76,66"
"42 Santa Catarina";"102,37";"94,04";"100,62";"102,55";"10,71";"103,11";"102,55";"101,74";"71,10";"74,86"
"43 Rio Grande do Sul";"99,16";"83,88";"93,50";"95,28";"30,01";"95,32";"94,72";"94,21";"65,84";"69,20"
"50 Mato Grosso do Sul";"104,29";"91,64";"102,63";"106,10";"100,52";"102,13";"106,99";"106,26";"72,47";"78,53"
"51 Mato Grosso";"111,47";"89,58";"103,30";"107,67";"103,51";"104,65";"106,03";"105,93";"72,79";"79,39"
"52 Goiás";"115,63";"88,49";"101,53";"105,20";"102,64";"106,90";"104,03";"102,93";"75,01";"80,41"
"53 Distrito Federal";"111,11";"92,34";"99,42";"101,97";"2,81";"95,78";"100,25";"99,78";"207,07";"137,02"
"Total";"108,71";"85,99";"100,20";"103,66";"49,69";"103,74";"101,71";"101,39";"72,39";"76,52"
