"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Sarampo";"Haemophilus influenzae b";"Ignorado";" Total"
"11 Rondônia";"114,36";"98,90";"104,77";"114,25";"93,85";"104,50";"103,37";"103,24";"83,68";"83,70"
"12 Acre";"134,96";"77,99";"113,91";"102,46";"67,82";"79,12";"96,80";"63,22";"78,92";"76,77"
"13 Amazonas";"108,31";"66,13";"90,00";"98,87";"27,69";"72,37";"94,82";"65,48";"76,63";"70,68"
"14 Roraima";"104,68";"77,19";"85,58";"92,32";"61,93";"81,27";"84,90";"74,14";"77,55";"72,67"
"15 Pará";"118,34";"73,64";"107,74";"100,19";"47,94";"83,93";"124,30";"76,39";"90,37";"83,43"
"16 Amapá";"181,41";"156,27";"155,06";"178,09";"131,68";"156,41";"163,82";"148,03";"82,09";"101,50"
"17 Tocantins";"122,08";"100,11";"118,44";"106,25";"82,17";"106,32";"108,37";"99,66";"89,45";"87,42"
"21 Maranhão";"122,47";"75,45";"96,45";"93,76";"80,13";"83,64";"103,24";"70,53";"83,49";"79,09"
"22 Piauí";"116,52";"95,29";"106,39";"61,18";"95,28";"99,80";"103,51";"91,46";"83,77";"81,18"
"23 Ceará";"118,81";"107,33";"112,59";"5,38";"109,94";"109,95";"114,15";"106,78";"86,01";"83,18"
"24 Rio Grande do Norte";"107,28";"88,03";"91,46";"2,73";"39,50";"92,02";"96,79";"81,27";"80,82";"73,12"
"25 Paraíba";"121,52";"96,64";"103,87";"0,41";"95,42";"102,80";"107,26";"92,33";"84,98";"80,28"
"26 Pernambuco";"118,78";"87,18";"104,61";"7,78";"69,88";"89,59";"105,86";"77,65";"83,23";"76,73"
"27 Alagoas";"111,00";"76,94";"86,47";"0,27";"59,09";"83,96";"92,68";"77,01";"84,71";"74,45"
"28 Sergipe";"112,29";"92,74";"101,53";"3,38";"102,22";"100,87";"105,51";"95,79";"83,85";"79,01"
"29 Bahia";"117,46";"92,96";"108,30";"88,06";"104,80";"100,04";"102,45";"90,33";"82,28";"81,56"
"31 Minas Gerais";"102,86";"94,13";"99,22";"83,62";"101,89";"97,25";"101,65";"95,79";"97,54";"90,28"
"32 Espírito Santo";"106,58";"98,52";"109,82";"21,89";"99,75";"101,31";"102,25";"94,05";"85,10";"80,75"
"33 Rio de Janeiro";"106,79";"86,26";"94,07";"1,69";"90,78";"91,77";"100,32";"89,10";"79,69";"75,02"
"35 São Paulo";"111,03";"96,00";"103,34";"7,36";"105,13";"101,77";"107,04";"101,43";"78,15";"76,51"
"41 Paraná";"112,38";"101,45";"105,76";"0,25";"101,36";"105,64";"107,67";"103,84";"84,96";"81,01"
"42 Santa Catarina";"104,27";"98,88";"105,67";"3,22";"101,09";"105,04";"105,90";"105,02";"80,91";"78,11"
"43 Rio Grande do Sul";"104,48";"93,66";"98,15";"1,96";"22,85";"98,35";"100,40";"97,90";"82,93";"75,60"
"50 Mato Grosso do Sul";"120,00";"97,81";"111,29";"109,36";"99,93";"105,26";"105,60";"106,15";"90,57";"88,66"
"51 Mato Grosso";"115,54";"88,94";"117,54";"110,61";"88,61";"100,82";"116,17";"94,24";"87,76";"85,97"
"52 Goiás";"110,42";"91,28";"101,08";"101,72";"95,71";"97,73";"101,25";"96,63";"86,44";"83,87"
"53 Distrito Federal";"122,91";"91,43";"97,51";"0,65";"102,22";"100,28";"0,04";"101,93";"79,07";"71,77"
"Total";"112,60";"91,88";"102,83";"40,24";"88,43";"97,45";"103,85";"93,10";"83,86";"79,85"
