"Unidade da Federação";"BCG";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Pneumocócica";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"102,79";"84,74";"5,35";"98,73";"23,46";"101,20";"97,74";"100,41";"102,64";"102,43";"77,67";"79,26"
"12 Acre";"114,23";"66,75";"0,65";"93,29";"4,86";"104,03";"91,17";"96,87";"92,41";"92,01";"75,20";"76,32"
"13 Amazonas";"115,98";"58,68";"2,05";"92,73";"7,59";"92,48";"88,78";"100,11";"94,17";"93,35";"71,30";"73,30"
"14 Roraima";"113,21";"71,68";"6,00";"90,85";"23,38";"96,71";"90,75";"94,49";"95,49";"92,08";"73,54";"75,19"
"15 Pará";"124,65";"66,89";"2,09";"100,64";"0,69";"103,38";"100,80";"110,95";"101,35";"101,13";"78,73";"81,55"
"16 Amapá";"115,69";"73,53";"0,40";"90,14";"4,55";"90,75";"82,38";"92,10";"93,43";"92,71";"74,75";"75,31"
"17 Tocantins";"100,84";"83,61";"5,03";"97,54";"35,85";"97,21";"93,10";"95,33";"97,45";"97,23";"72,33";"75,12"
"21 Maranhão";"125,32";"72,83";"2,19";"100,24";"0,92";"106,62";"104,64";"109,99";"104,39";"104,24";"86,22";"87,04"
"22 Piauí";"101,87";"80,01";"0,40";"95,72";"0,35";"97,02";"93,99";"97,70";"96,77";"96,82";"72,94";"75,44"
"23 Ceará";"106,60";"87,61";"23,74";"99,54";"1,50";"101,03";"0,18";"103,91";"101,46";"101,46";"74,76";"74,40"
"24 Rio Grande do Norte";"113,18";"75,77";"1,21";"94,28";"19,07";"96,67";"0,16";"100,72";"95,04";"95,04";"70,32";"71,04"
"25 Paraíba";"110,46";"77,09";"2,33";"98,07";"31,16";"100,95";"0,63";"119,28";"101,28";"101,23";"74,43";"77,15"
"26 Pernambuco";"107,59";"83,27";"2,54";"98,76";"29,05";"101,18";"0,34";"104,79";"102,18";"102,15";"74,69";"74,97"
"27 Alagoas";"101,57";"74,79";"3,43";"96,60";"6,65";"100,47";"0,31";"98,58";"98,99";"98,99";"75,95";"74,08"
"28 Sergipe";"90,89";"89,50";"0,22";"98,60";"35,70";"99,87";"0,08";"98,24";"99,68";"99,67";"76,03";"76,12"
"29 Bahia";"106,29";"72,14";"64,72";"94,43";"2,83";"95,93";"94,25";"102,97";"96,59";"96,58";"72,97";"75,80"
"31 Minas Gerais";"102,08";"93,22";"130,47";"96,80";"49,93";"100,41";"95,69";"99,72";"101,45";"101,19";"74,68";"80,85"
"32 Espírito Santo";"106,86";"91,04";"25,42";"99,21";"44,66";"103,07";"1,03";"99,72";"101,14";"100,73";"73,68";"74,74"
"33 Rio de Janeiro";"108,29";"78,90";"8,36";"90,28";"1,97";"106,87";"0,36";"94,98";"92,16";"92,14";"67,46";"67,48"
"35 São Paulo";"101,55";"89,24";"10,79";"95,63";"42,00";"96,60";"19,21";"94,91";"95,80";"95,27";"68,81";"70,36"
"41 Paraná";"103,82";"91,66";"5,01";"97,79";"35,36";"99,60";"71,63";"95,64";"100,17";"100,07";"72,86";"75,22"
"42 Santa Catarina";"103,68";"93,35";"6,59";"98,74";"56,53";"98,82";"23,97";"101,30";"99,10";"98,03";"72,30";"74,19"
"43 Rio Grande do Sul";"96,44";"82,18";"3,33";"90,96";"14,62";"92,34";"29,78";"93,63";"92,07";"91,50";"66,32";"67,22"
"50 Mato Grosso do Sul";"105,23";"87,57";"3,56";"96,35";"32,82";"99,64";"93,59";"100,22";"100,36";"99,95";"72,44";"75,77"
"51 Mato Grosso";"98,65";"85,63";"2,45";"96,55";"9,42";"100,40";"93,56";"97,70";"97,87";"97,73";"70,57";"73,54"
"52 Goiás";"118,33";"86,51";"9,72";"97,55";"19,05";"100,56";"102,25";"106,82";"102,23";"99,76";"72,68";"76,25"
"53 Distrito Federal";"113,36";"89,00";"21,46";"91,25";"29,88";"94,20";"2,97";"92,41";"92,38";"92,22";"149,01";"110,68"
"Total";"106,71";"83,04";"26,88";"96,08";"24,02";"99,35";"49,25";"99,93";"98,01";"97,66";"72,88";"74,66"
